item_material,device_id,grill_type,user_satisfaction,fuel_cost
Ground Beef Patty,1,Charcoal,-0.9,400.5
Hotdog,1,Charcoal,-1.3,372.445
Veggie Patty,1,Charcoal,-1.2,378.447
Ground Beef Patty,2,Propane,1.6,168.975
Hotdog,2,Propane,1.8,154.875
Veggie Patty,2,Propane,2,151.2
Ground Beef Patty,3,Charcoal,-1.3,399.6
Hotdog,3,Charcoal,-1.9,364
Veggie Patty,3,Charcoal,-1.3,382.218
Ground Beef Patty,4,Propane,2.4,170.85
Hotdog,4,Propane,1.2,156.55
Veggie Patty,4,Propane,1.2,146.55
Ground Beef Patty,5,Charcoal,-2.5,389.73
Hotdog,5,Charcoal,-0.5,373.725
Veggie Patty,5,Charcoal,-2.5,370.965
Ground Beef Patty,6,Propane,2.6,175.2
Hotdog,6,Propane,2,140.875
Veggie Patty,6,Propane,0.2,158.775
Ground Beef Patty,7,Charcoal,-1.7,402.399
Hotdog,7,Charcoal,-2.4,366.71
Veggie Patty,7,Charcoal,-0.3,369.942
Ground Beef Patty,8,Propane,2,171.75
Hotdog,8,Propane,1.2,153.65
Veggie Patty,8,Propane,2.8,148.05